Match Number,Round Number,Date,Location,Home Team,Away Team,Result
124,14,13/12/2026 00:00,Estádio do Dragão,FC Porto,Estrela Amadora,
125,14,13/12/2026 00:00,Estádio do Sport Lisboa e Benfica,SL Benfica,SC Braga,
126,14,13/12/2026 00:00,Estádio D. Afonso Henriques,Vitória SC,FC Alverca,
127,15,20/12/2026 00:00,Estádio do FC Alverca,FC Alverca,Gil Vicente FC,
128,15,20/12/2026 00:00,Estádio José Gomes,Estrela Amadora,Marítimo M.,
129,15,20/12/2026 00:00,Estádio Municipal de Arouca,FC Arouca,Casa Pia AC,
130,15,20/12/2026 00:00,Estádio Municipal de Braga,SC Braga,Académico,
131,15,20/12/2026 00:00,Estádio Municipal de Famalicão,FC Famalicão,FC Porto,
132,15,20/12/2026 00:00,Estádio da Madeira,CD Nacional,Moreirense FC,
133,15,20/12/2026 00:00,Estádio do Rio Ave Futebol Clube,Rio Ave FC,SL Benfica,
134,15,20/12/2026 00:00,Estádio de São Miguel,Santa Clara,Vitória SC,
135,15,20/12/2026 00:00,Estádio José Alvalade,Sporting CP,Estoril Praia,
136,16,27/12/2026 00:00,Estádio Municipal de Rio Maior,Casa Pia AC,FC Famalicão,
137,16,27/12/2026 00:00,Estádio António Coimbra da Mota,Estoril Praia,FC Alverca,
138,16,27/12/2026 00:00,Estádio Cidade de Barcelos,Gil Vicente FC,FC Arouca,
139,16,27/12/2026 00:00,Estádio do Marítimo,Marítimo M.,SC Braga,
140,16,27/12/2026 00:00,Parque Desportivo Comendador Joaquim de Almeida Fr,Moreirense FC,Académico,
141,16,27/12/2026 00:00,Estádio do Dragão,FC Porto,CD Nacional,
142,16,27/12/2026 00:00,Estádio de São Miguel,Santa Clara,Estrela Amadora,
143,16,27/12/2026 00:00,Estádio do Sport Lisboa e Benfica,SL Benfica,Sporting CP,
